stock_name,symbol,industry,index,sector
Avantel,AVANTEL,Aerospace & Defense,NA,Capital Goods
AXISCADES Tech.,AXISCADES,Aerospace & Defense,NA,Capital Goods
Bharat Dynamics,BDL,Aerospace & Defense,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
Bharat Electron,BEL,Aerospace & Defense,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
C2C Advanced,C2C,Aerospace & Defense,,
Data Pattern,DATAPATTNS,Aerospace & Defense,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
DCX Systems,DCXINDIA,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
Garden Reach Sh.,GRSE,Aerospace & Defense,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
Hind.Aeronautics,HAL,Aerospace & Defense,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
Ideaforge Tech,IDEAFORGE,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
Krishna Defence,KRISHNADEF,Aerospace & Defense,,
Mishra Dhatu Nig,MIDHANI,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
MTAR Technologie,MTARTECH,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
NIBE,NIBE,Aerospace & Defense,NA,Capital Goods
Paras Defence,PARAS,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
Rossell Techsys,ROSSTECH,Aerospace & Defense,NA,Capital Goods
Techera Enginee.,TECHERA,Aerospace & Defense,,
Unimech Aero.,UNIMECH,Aerospace & Defense,NA,Capital Goods
Zen Technologies,ZENTEC,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
TAAL Enterprises,TAALENT,Airline,,
FlySBS Aviation,FLYSBS,Airline,,
Global Vectra,GLOBALVECT,Airline,NA,Services
Interglobe Aviat,INDIGO,Airline,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Services
SpiceJet,SPICEJET,Airline,,
Dreamfolks Servi,DREAMFOLKS,Airport & Airport services,NIFTY MICROCAP 250,Consumer Services
GMR Airports,GMRAIRPORT,Airport & Airport services,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Construction
Sudal Industries,506003,Aluminium,,
MSR India,MSRINDIA,Aluminium,,
Synthiko Foils,513307,Aluminium,,
Golkonda Alumin.,GOLKONDA,Aluminium,,
Maitri Enterp.,MAITRI,Aluminium,,
Baroda Extrusion,BARODARY,Aluminium,,
Shilp Gravures,513709,Aluminium,,
PG Foils,KPGEL,Aluminium,,
Amco India,ADCINDIA,Aluminium,,
Sacheta Metals,META,Aluminium,,
Hind Aluminium,SHINDL,Aluminium,,
RCI Industries,RCIIND,Aluminium,,
Palco Metals Ltd,META,Aluminium,,
Parmeshwar Metal,META,Aluminium,,
Sharvaya Metals,META,Aluminium,,
Krupalu Metals,META,Aluminium,,
Sampat Aluminium,SAMPAT,Aluminium,,
Aluwind Infra,ALUWIND,Aluminium,,
ANB Metal,AMCL,Aluminium,,
Arfin India,ARFIN,Aluminium,NA,Metals & Mining
Baheti Recycling,BAHETI,Aluminium,,
Century Extrus.,CENTEXT,Aluminium,NA,Metals & Mining
Cubex Tubings,CUBEXTUB,Aluminium,NA,Metals & Mining
Euro Panel,EUROBOND,Aluminium,NA,Metals & Mining
Hindalco Inds.,HINDALCO,Aluminium,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY METAL",Metals & Mining
Jainik Power,JAINIK,Aluminium,,
Maan Aluminium,MAANALU,Aluminium,NA,Metals & Mining
Manaksia Alumi.,MANAKALUCO,Aluminium,NA,Metals & Mining
Madhav Copper,MCL,Aluminium,NA,Capital Goods
MMP Industries,MMP,Aluminium,NA,Metals & Mining
Natl. Aluminium,NATIONALUM,Aluminium,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY METAL",Metals & Mining
