stock_name,symbol,industry,company_id,status
Prince Pipes,PRINCEPIPE,Plastic Products - Industrial,,failed
Purv Flexi,PURVFLEXI,Plastic Products - Industrial,,failed
R M Drip & Sprin,RMDRIP,Plastic Products - Industrial,,failed
Shaily Engineer.,SHAILY,Plastic Products - Industrial,,failed
Supreme Inds.,SUPREMEIND,Plastic Products - Industrial,,failed
Tainwala Chem.,TAINWALCHM,Plastic Products - Industrial,,failed
Time Technoplast,TIMETECHNO,Plastic Products - Industrial,,failed
Shree Tirupati,TIRUPATI,Plastic Products - Industrial,,failed
Duroply Indust.,DUROPLY,Plywood Boards/ Laminates,,failed
Ecoboard Inds.,ECOBOAR,Plywood Boards/ Laminates,,failed
Adhata Global,SVGLOBAL,Plywood Boards/ Laminates,,failed
Archidply Decor,ADL,Plywood Boards/ Laminates,,failed
Airo Lam,AIROLAM,Plywood Boards/ Laminates,,failed
Archidply Inds.,ARCHIDPLY,Plywood Boards/ Laminates,,failed
Century Plyboard,CENTURYPLY,Plywood Boards/ Laminates,,failed
Greenlam Industr,GREENLAM,Plywood Boards/ Laminates,,failed
Greenpanel Inds.,GREENPANEL,Plywood Boards/ Laminates,,failed
Greenply Industr,GREENPLY,Plywood Boards/ Laminates,,failed
Lamosaic India,LAMOSAIC,Plywood Boards/ Laminates,,failed
Milton Industri.,MILTON,Plywood Boards/ Laminates,,failed
Rushil Decor,RUSHIL,Plywood Boards/ Laminates,,failed
Stylam Industrie,STYLAMIND,Plywood Boards/ Laminates,,failed
Sylvan Plyboard,SYLVANPLY,Plywood Boards/ Laminates,,failed
W I Plywoods,WIPL,Plywood Boards/ Laminates,,failed
Starlog Enterp.,STARLOG,Port & Port services,,failed
Adani Ports,ADANIPORTS,Port & Port services,,failed
Allcargo Termi,ATL,Port & Port services,,failed
Guj Pipavav Port,GPPL,Port & Port services,,failed
JSW Infrast,JSWINFRA,Port & Port services,,failed
Anzen IYEP Trust,ANZEN,Power - Transmission,,failed
IndiGrid Trust,INDIGRID,Power - Transmission,,failed
Powergrid Infra.,PGINVIT,Power - Transmission,,failed
Power Grid Corpn,POWERGRID,Power - Transmission,,failed
Ampvolts,AMPVOLTS,Power Distribution,,failed
Adani Energy Sol,ADANIENSOL,Power Distribution,,failed
Globus Power,EMPOWER,Power Generation,,failed
Waaree Tech.,WAAREE,Power Generation,,failed
Insolation Ener,ENERGYINF,Power Generation,,failed
ACME Solar Hold.,ACMESOLAR,Power Generation,,failed
Adani Green,ADANIGREEN,Power Generation,,failed
Guj Inds. Power,GIPCL,Power Generation,,failed
GMR Urban,GMRP&UI,Power Generation,,failed
Orient Green,GREENPOWER,Power Generation,,failed
Indowind Energy,INDOWIND,Power Generation,,failed
Inox Green,INOXGREEN,Power Generation,,failed
JP Power Ven.,JPPOWER,Power Generation,,failed
JSW Energy,JSWENERGY,Power Generation,,failed
K.P. Energy,KPEL,Power Generation,,failed
KPI Green Energy,KPIGREEN,Power Generation,,failed
Nava,NAVA,Power Generation,,failed
NHPC Ltd,NHPC,Power Generation,,failed
NLC India,NLCINDIA,Power Generation,,failed
NTPC,NTPC,Power Generation,,failed
NTPC Green Ene.,NTPCGREEN,Power Generation,,failed
Reliance Power,RPOWER,Power Generation,,failed
RattanIndia Pow.,RTNPOWER,Power Generation,,failed
Sustainable Ener,SEITINVIT,Power Generation,,failed
SJVN,SJVN,Power Generation,,failed
Surana Telecom,SURANAT&P,Power Generation,,failed
Ujaas Energy,UEL,Power Generation,,failed
PTC India,PTC,Power Trading,,failed
Utique Enterp.,UTIQUE,Precious Metals,,failed
Nanavati Venture,MKVENTURES,Precious Metals,,failed
Amanaya Ventures,MKVENTURES,Precious Metals,,failed
Encode Packaging,ENCODE,Print Media,,failed
D B Corp,DBCORP,Print Media,,failed
Hindustan Media,HMVL,Print Media,,failed
H T Media,HTMEDIA,Print Media,,failed
Jagran Prakashan,JAGRAN,Print Media,,failed
Madhya Prad. Tod,MPTODAY,Print Media,,failed
Sandesh,SANDESH,Print Media,,failed
Shakti Press,PRESSURS,Printing & Publication,,failed
Kiran Print Pack,KIRANVYPAR,Printing & Publication,,failed
Unick Fix-A-Form,UNICK,Printing & Publication,,failed
Chetana Educa.,CHETANA,Printing & Publication,,failed
Infomedia Press,INFOMEDIA,Printing & Publication,,failed
Navneet Educat.,NAVNETEDUL,Printing & Publication,,failed
Repro India,REPRO,Printing & Publication,,failed
S Chand & Compan,SCHAND,Printing & Publication,,failed
DIC India,DICIND,Printing Inks,,failed
Kshitij Polyline,KSHITIJPOL,Printing Inks,,failed
Axis Bank,AXISBANK,Private Sector Bank,,failed
Bandhan Bank,BANDHANBNK,Private Sector Bank,,failed
CSB Bank,CSBBANK,Private Sector Bank,,failed
City Union Bank,CUB,Private Sector Bank,,failed
DCB Bank,DCBBANK,Private Sector Bank,,failed
Dhanlaxmi Bank,DHANBANK,Private Sector Bank,,failed
Federal Bank,FEDERALBNK,Private Sector Bank,,failed
HDFC Bank,HDFCBANK,Private Sector Bank,,failed
ICICI Bank,ICICIBANK,Private Sector Bank,,failed
IDBI Bank,IDBI,Private Sector Bank,,failed
IDFC First Bank,IDFCFIRSTB,Private Sector Bank,,failed
IndusInd Bank,INDUSINDBK,Private Sector Bank,,failed
J & K Bank,J&KBANK,Private Sector Bank,,failed
Karur Vysya Bank,KARURVYSYA,Private Sector Bank,,failed
Kotak Mah. Bank,KOTAKBANK,Private Sector Bank,,failed
Karnataka Bank,KTKBANK,Private Sector Bank,,failed
RBL Bank,RBLBANK,Private Sector Bank,,failed
South Ind.Bank,SOUTHBANK,Private Sector Bank,,failed
T N Merc. Bank,TMB,Private Sector Bank,,failed
JM Financial,JMFINANCIL,Holding Company,,failed
Max India Ltd,MAXIND,Holding Company,,failed
Pilani Invest.,PILANIINVS,Holding Company,,failed
Rane Holdings,RANEHOLDIN,Holding Company,,failed
KMC Speciality,KMCSHIL,Hospital,,failed
Dr Agarwal's Eye,DRAGARWQ,Hospital,,failed
Abate As Indust,ABATEAS,Hospital,,failed
Aashka Hospitals,AASHKA,Hospital,,failed
Dr Agarwal's Hea,AGARWALEYE,Hospital,,failed
Apollo Hospitals,APOLLOHOSP,Hospital,,failed
Artemis Medicare,ARTEMISMED,Hospital,,failed
Aster DM Health.,ASTERDM,Hospital,,failed
Fortis Health.,FORTIS,Hospital,,failed
GPT Healthcare,GPTHEALTH,Hospital,,failed
Health.Global,HCG,Hospital,,failed
Indrapr.Medical,INDRAMEDCO,Hospital,,failed
Jupiter Life Lin,JLHL,Hospital,,failed
Krishna Institu.,KIMS,Hospital,,failed
Kovai Medical,KOVAI,Hospital,,failed
Lotus Eye Hospit,LOTUSEYE,Hospital,,failed
Max Healthcare,MAXHEALTH,Hospital,,failed
Global Health,MEDANTA,Hospital,,failed
Nephro Care,NEPHROCARE,Hospital,,failed
Narayana Hrudaya,NH,Hospital,,failed
Rainbow Child.,RAINBOW,Hospital,,failed
Shalby,SHALBY,Hospital,,failed
Unihealth Hosp,UNIHEALTH,Hospital,,failed
Yatharth Hospit.,YATHARTH,Hospital,,failed
Mac Charles(I),MACPLASQ,Hotels & Resorts,,failed
Benares Hotels,ECOHOTELS,Hotels & Resorts,,failed
U P Hotels,SPICELOUNG,Hotels & Resorts,,failed
Praveg,PRAVEG,Hotels & Resorts,,failed
Brigade Hotel,BRIGHOTEL,Hotels & Resorts,,failed
Chalet Hotels,CHALET,Hotels & Resorts,,failed
Valor Estate,DBREALTY,Hotels & Resorts,,failed
EIH Assoc.Hotels,EIHAHOTELS,Hotels & Resorts,,failed
EIH,EIHOTEL,Hotels & Resorts,,failed
HLV,HLVLTD,Hotels & Resorts,,failed
Indian Hotels Co,INDHOTEL,Hotels & Resorts,,failed
ITC Hotels,ITCHOTELS,Hotels & Resorts,,failed
I T D C,ITDC,Hotels & Resorts,,failed
Juniper Hotels,JUNIPER,Hotels & Resorts,,failed
Kamat Hotels,KAMATHOTEL,Hotels & Resorts,,failed
Lemon Tree Hotel,LEMONTREE,Hotels & Resorts,,failed
Mahindra Holiday,MHRIL,Hotels & Resorts,,failed
Oriental Hotels,ORIENTHOT,Hotels & Resorts,,failed
Apeejay Surrend.,PARKHOTELS,Hotels & Resorts,,failed
Royal Orch.Hotel,ROHLTD,Hotels & Resorts,,failed
Samhi Hotels,SAMHI,Hotels & Resorts,,failed
TajGVK Hotels,TAJGVK,Hotels & Resorts,,failed
Schloss Bangal.,THELEELA,Hotels & Resorts,,failed
Ventive Hospital,VENTIVE,Hotels & Resorts,,failed
Viceroy Hotels,VHLTD,Hotels & Resorts,,failed
Forbes & Co,FORBESCO,Household Appliances,,failed
Singer India,ADCINDIA,Household Appliances,,failed
Jaipan Industrie,JAIPAN,Household Appliances,,failed
Sai Swami Metals,META,Household Appliances,,failed
Amber Enterp.,AMBER,Household Appliances,,failed
Aspire & Innovat,ASPIRE,Household Appliances,,failed
Bajaj Electrical,BAJAJELEC,Household Appliances,,failed
Blue Star,BLUESTARCO,Household Appliances,,failed
Butterfly Gan Ap,BUTTERFLY,Household Appliances,,failed
Carysil,CARYSIL,Household Appliances,,failed
Crompton Gr. Con,CROMPTON,Household Appliances,,failed
Elin Electronics,ELIN,Household Appliances,,failed
Epack Durable,EPACK,Household Appliances,,failed
Eureka Forbes,EUREKAFORB,Household Appliances,,failed
Greenchef Appli.,GREENCHEF,Household Appliances,,failed
IFB Industries,IFBIND,Household Appliances,,failed
Johnson Con. Hit,JCHAC,Household Appliances,,failed
Orient Electric,ORIENTELEC,Household Appliances,,failed
Stove Kraft,STOVEKRAFT,Household Appliances,,failed
Symphony,SYMPHONY,Household Appliances,,failed
TTK Prestige,TTKPRESTIG,Household Appliances,,failed
V-Guard Industri,VGUARD,Household Appliances,,failed
Voltas,VOLTAS,Household Appliances,,failed
Wonder Electric.,WEL,Household Appliances,,failed
Whirlpool India,WHIRLPOOL,Household Appliances,,failed
Panasonic Energy,ENERGYINF,Household Products,,failed
High Energy Bat.,ENERGYINF,Household Products,,failed
Pee Cee Cosma,KAYCEEI,Household Products,,failed
Photoquip India,ADCINDIA,Household Products,,failed
Hipolin,HIPOLIN,Household Products,,failed
Yuvraaj Hygiene,YUVRAAJHPL,Household Products,,failed
Ambica Agarbat.,AMBICAAGAR,Household Products,,failed
Eveready Inds.,EVEREADY,Household Products,,failed
Jyothy Labs,JYOTHYLAB,Household Products,,failed
Indo National,NIPPOBATRY,Household Products,,failed
Gorani Industrie,GORANIN,Houseware,,failed
Inflame Applian.,INFLAME,Houseware,,failed
Maruti Interior,MARUTISE,Houseware,,failed
All Time Plastic,ALLTIME,Houseware,,failed
Borosil,BOROLTD,Houseware,,failed
Cello World,CELLO,Houseware,,failed
Sahara Housing,SAHARAHOUS,Housing Finance Company,,failed
Ind Bank Housing,TANFACIND,Housing Finance Company,,failed
Manraj Hsg.Fin.,MANRAJH,Housing Finance Company,,failed
India Home Loans,INDIAHOME,Housing Finance Company,,failed
Star Housing Fin,HARAFIN,Housing Finance Company,,failed
Aadhar Hsg. Fin.,AADHARHFC,Housing Finance Company,,failed
AAVAS Financiers,AAVAS,Housing Finance Company,,failed
Aptus Value Hou.,APTUS,Housing Finance Company,,failed
Bajaj Housing,BAJAJHFL,Housing Finance Company,,failed
Can Fin Homes,CANFINHOME,Housing Finance Company,,failed
GIC Housing Fin,GICHSGFIN,Housing Finance Company,,failed
Home First Finan,HOMEFIRST,Housing Finance Company,,failed
INDIA SHELTE FIN,INDIASHLTR,Housing Finance Company,,failed
LIC Housing Fin.,LICHSGFIN,Housing Finance Company,,failed
PNB Housing,PNBHOUSING,Housing Finance Company,,failed
Repco Home Fin,REPCOHOME,Housing Finance Company,,failed
Reliance Home,RHFL,Housing Finance Company,,failed
Sammaan Capital,SAMMAANCAP,Housing Finance Company,,failed
SRG Housing,SRGHFL,Housing Finance Company,,failed
String Metaverse,META,IT Enabled Services,,failed
Affle 3i,AFFLE,IT Enabled Services,,failed
Roto Pumps,ROTO,Compressors,,failed
Shakti Pumps,SHAKTIPUMP,Compressors,,failed
Swaraj Engines,SWARAJENG,Compressors,,failed
Yuken India,YUKEN,Compressors,,failed
ASM Technologies,BENGALASM,Computers - Software & Consulting,,failed
63 Moons Tech.,63MOONS,Computers - Software & Consulting,,failed
Aurionpro Sol.,AURIONPRO,Computers - Software & Consulting,,failed
Birlasoft Ltd,BSOFT,Computers - Software & Consulting,,failed
Coforge,COFORGE,Computers - Software & Consulting,,failed
Happiest Minds,HAPPSTMNDS,Computers - Software & Consulting,,failed
HCL Technologies,HCLTECH,Computers - Software & Consulting,,failed
Hexaware Tech.,HEXT,Computers - Software & Consulting,,failed
Infosys,INFY,Computers - Software & Consulting,,failed
Intellect Design,INTELLECT,Computers - Software & Consulting,,failed
KPIT Technologi.,KPITTECH,Computers - Software & Consulting,,failed
Latent View,LATENTVIEW,Computers - Software & Consulting,,failed
LTIMindtree,LTIM,Computers - Software & Consulting,,failed
Mastek,MASTEK,Computers - Software & Consulting,,failed
Magellanic Cloud,MCLOUD,Computers - Software & Consulting,,failed
Mphasis,MPHASIS,Computers - Software & Consulting,,failed
Newgen Software,NEWGEN,Computers - Software & Consulting,,failed
Persistent Syste,PERSISTENT,Computers - Software & Consulting,,failed
Rategain Travel,RATEGAIN,Computers - Software & Consulting,,failed
Sonata Software,SONATSOFTW,Computers - Software & Consulting,,failed
Tata Elxsi,TATAELXSI,Computers - Software & Consulting,,failed
TCS,TCS,Computers - Software & Consulting,,failed
Tech Mahindra,TECHM,Computers - Software & Consulting,,failed
Wipro,WIPRO,Computers - Software & Consulting,,failed
Zensar Tech.,ZENSARTECH,Computers - Software & Consulting,,failed
Computer Point,CHECKPOINT,Computers Hardware & Equipments,,failed
Vama Industries,VAMA,Computers Hardware & Equipments,,failed
B C C Fuba India,BCCFUBA,Computers Hardware & Equipments,,failed
Fine Line Cir.,FINELINE,Computers Hardware & Equipments,,failed
ACI Infocom,TANFACIND,Computers Hardware & Equipments,,failed
Vintron Info.,VINTRON,Computers Hardware & Equipments,,failed
Bharat Global,SVGLOBAL,Computers Hardware & Equipments,,failed
Brisk Technovisi,NOVIS,Computers Hardware & Equipments,,failed
Aztec Fluids,AZTEC,Computers Hardware & Equipments,,failed
Cerebra Integr.,CEREBRAINT,Computers Hardware & Equipments,,failed
Compuage Info.,COMPINFO,Computers Hardware & Equipments,,failed
Control Print,CONTROLPR,Computers Hardware & Equipments,,failed
DC Infotech,DCI,Computers Hardware & Equipments,,failed
D-Link India,DLINKINDIA,Computers Hardware & Equipments,,failed
GNG Electronics,EBGNG,Computers Hardware & Equipments,,failed
Esconet,ESCONET,Computers Hardware & Equipments,,failed
HCL Infosystems,HCL-INSYS,Computers Hardware & Equipments,,failed
Moschip Tech.,MOSCHIP,Computers Hardware & Equipments,,failed
NELCO,NELCO,Computers Hardware & Equipments,,failed
Newjaisa Tech,NEWJAISA,Computers Hardware & Equipments,,failed
Richa Info,RICHA,Computers Hardware & Equipments,,failed
Rashi Peripheral,RPTECH,Computers Hardware & Equipments,,failed
Slone Infosys.,SLONE,Computers Hardware & Equipments,,failed
Smartlink Hold.,SMARTLINK,Computers Hardware & Equipments,,failed
TVS Elec.,TVSELECT,Computers Hardware & Equipments,,failed
Brady & Morris,BRADYM,Construction Vehicles,,failed
Action Const.Eq.,ACE,Construction Vehicles,,failed
Ajax Engineering,AJAXENGG,Construction Vehicles,,failed
BEML Ltd,BEML,Construction Vehicles,,failed
TIL,TIL,Construction Vehicles,,failed
Lords Mark,LORDSMARK,Consulting Services,,failed
Zodiac Vent.,ZODIACVEN,Consulting Services,,failed
Invigorated Bus.,INVIGO,Consulting Services,,failed
IMEC Services,IMEC,Consulting Services,,failed
IIRM Holdings,IIRM,Consulting Services,,failed
Tradewell Hold,KAMAHOLD,Consulting Services,,failed
Artefact Project,ARTEFACT,Consulting Services,,failed
Ekansh Concept,EKANSH,Consulting Services,,failed
Tarini Internat.,TARINI,Consulting Services,,failed
Likhami Consult.,LIKHAMI,Consulting Services,,failed
DRA Consultants,DRAGARWQ,Consulting Services,,failed
Pro CLB,PROCLB,Consulting Services,,failed
Jonjua Overseas,JONJUA,Consulting Services,,failed
EKI Energy,ENERGYINF,Consulting Services,,failed
Getalong Enterp.,GETALONG,Consulting Services,,failed
Qualitek Labs,ROSELABS,Consulting Services,,failed
AAA Technologies,AAATECH,Consulting Services,,failed
Dhruv Consultanc,DHRUV,Consulting Services,,failed
Manglam Infra,MIEL,Consulting Services,,failed
Mitcon Consult.,MITCON,Consulting Services,,failed
Calcom Vision,CALCOM,Consumer Electronics,,failed
VXL Instruments,VXLINSTR,Consumer Electronics,,failed
Sharp India,ADCINDIA,Consumer Electronics,,failed
CWD,CWD,Consumer Electronics,,failed
Comrade Applian.,COMRADE,Consumer Electronics,,failed
Arham Tech,ARHAM,Consumer Electronics,,failed
BPL,BPL,Consumer Electronics,,failed
Cellecor Gadgets,CELLECOR,Consumer Electronics,,failed
Dixon Technolog.,DIXON,Consumer Electronics,,failed
Focus Lighting,FOCUS,Consumer Electronics,,failed
Havells India,HAVELLS,Consumer Electronics,,failed
IKIO Tech,IKIO,Consumer Electronics,,failed
Kundan Edifice,KEL,Consumer Electronics,,failed
Khaitan (India),KHAITANLTD,Consumer Electronics,,failed
MIRC Electronics,MIRCELECTR,Consumer Electronics,,failed
Nitiraj Engineer,NITIRAJ,Consumer Electronics,,failed
PG Electroplast,PGEL,Consumer Electronics,,failed
Pro FX,PROFX,Consumer Electronics,,failed
Pulz Electronics,PULZ,Consumer Electronics,,failed
Sonam,SONAMLTD,Consumer Electronics,,failed
Universus Photo,UNIVPHOTO,Consumer Electronics,,failed
Veto Switchgears,VETO,Consumer Electronics,,failed
N D Metal Inds.,NDMETAL,Copper,,failed
Onix Solar,SOLARIUM,Copper,,failed
Bhagyanagar Ind,BHAGYANGR,Copper,,failed
Hindustan Copper,HINDCOPPER,Copper,,failed
Virat Crane Inds,SUMEETINDS,Dairy Products,,failed
SC Agrotech,LOTUSCHO,Dairy Products,,failed
Tasty Dairy,MODAIRY,Dairy Products,,failed
Healthy Life,HEALTHYLIFE,Dairy Products,,failed
Dodla Dairy,DODLA,Dairy Products,,failed
Hatsun Agro,HATSUN,Dairy Products,,failed
Heritage Foods,HERITGFOOD,Dairy Products,,failed
Parag Milk Foods,PARAGMILK,Dairy Products,,failed
Sheetal Cool,SCPL,Dairy Products,,failed
Vadilal Inds.,VADILALIND,Dairy Products,,failed
Ganga Forging,GANGAFORGE,Castings & Forgings,,failed
Happy Forgings,HAPPYFORGE,Castings & Forgings,,failed
Hilton Met.Forg.,HILTON,Castings & Forgings,,failed
Kalyani Forge,KALYANIFRG,Castings & Forgings,,failed
Nelcast,NELCAST,Castings & Forgings,,failed
Pattech Fitwell,PATTECH,Castings & Forgings,,failed
Sharp Chucks and,SCML,Castings & Forgings,,failed
Synergy Green,SGIL,Castings & Forgings,,failed
Steelcast,STEELCAS,Castings & Forgings,,failed
Tirupati Forge,TIRUPATIFL,Castings & Forgings,,failed
ACC,ACC,Cement & Cement Products,,failed
Ambuja Cements,AMBUJACEM,Cement & Cement Products,,failed
Birla Corpn.,BIRLACORPN,Cement & Cement Products,,failed
Dalmia BharatLtd,DALBHARAT,Cement & Cement Products,,failed
Deccan Cements,DECCANCE,Cement & Cement Products,,failed
Grasim Inds,GRASIM,Cement & Cement Products,,failed
Heidelberg Cem.,HEIDELBERG,Cement & Cement Products,,failed
India Cements,INDIACEM,Cement & Cement Products,,failed
J K Cements,JKCEMENT,Cement & Cement Products,,failed
JK Lakshmi Cem.,JKLAKSHMI,Cement & Cement Products,,failed
JSW Cement,JSWCEMENT,Cement & Cement Products,,failed
K C P,KCP,Cement & Cement Products,,failed
Mangalam Cement,MANGLMCEM,Cement & Cement Products,,failed
NCL Industries,NCLIND,Cement & Cement Products,,failed
Nuvoco Vistas,NUVOCO,Cement & Cement Products,,failed
Orient Cement,ORIENTCEM,Cement & Cement Products,,failed
Prism Johnson,PRSMJOHNSN,Cement & Cement Products,,failed
The Ramco Cement,RAMCOCEM,Cement & Cement Products,,failed
Sagar Cements,SAGCEM,Cement & Cement Products,,failed
Sanghi Industrie,SANGHIIND,Cement & Cement Products,,failed
Saurashtra Cem.,SAURASHCEM,Cement & Cement Products,,failed
Sh. Digvijay Cem,SHREDIGCEM,Cement & Cement Products,,failed
Shree Cement,SHREECEM,Cement & Cement Products,,failed
Star Cement,STARCEMENT,Cement & Cement Products,,failed
UltraTech Cem.,ULTRACEMCO,Cement & Cement Products,,failed
Restile Ceramics,AMIC,Ceramics,,failed
Manoj Ceramic,AMIC,Ceramics,,failed
Asian Granito,ASIANTILES,Ceramics,,failed
Exxaro Tiles,EXXARO,Ceramics,,failed
Kajaria Ceramics,KAJARIACER,Ceramics,,failed
Murudesh.Ceramic,MURUDCERA,Ceramics,,failed
Nitco,NITCO,Ceramics,,failed
Orient Bell,ORIENTBELL,Ceramics,,failed
Regency Ceramics,REGENCERAM,Ceramics,,failed
Somany Ceramics,SOMANYCERA,Ceramics,,failed
NTC Industries,NTCIND,Cigarettes & Tobacco Products,,failed
Raghunath Intl.,RAGHUNAT,Cigarettes & Tobacco Products,,failed
Elitecon Inter.,ELITECON,Cigarettes & Tobacco Products,,failed
Godfrey Phillips,GODFRYPHLP,Cigarettes & Tobacco Products,,failed
Shanthala FMCG,SHANTHALA,Cigarettes & Tobacco Products,,failed
VST Industries,VSTIND,Cigarettes & Tobacco Products,,failed
Afcons Infrastr.,AFCONS,Civil Construction,,failed
Ahluwalia Contr.,AHLUCONT,Civil Construction,,failed
Cemindia Project,CEMPRO,Civil Construction,,failed
Dilip Buildcon,DBL,Civil Construction,,failed
Engineers India,ENGINERSIN,Civil Construction,,failed
G R Infraproject,GRINFRA,Civil Construction,,failed
H.G. Infra Engg.,HGINFRA,Civil Construction,,failed
IRB Infra.Devl.,IRB,Civil Construction,,failed
Ircon Intl.,IRCON,Civil Construction,,failed
ISGEC Heavy,ISGEC,Civil Construction,,failed
K E C Intl.,KEC,Civil Construction,,failed
KNR Construct.,KNRCON,Civil Construction,,failed
Kalpataru Proj.,KPIL,Civil Construction,,failed
Larsen & Toubro,LT,Civil Construction,,failed
Man Infra,MANINFRA,Civil Construction,,failed
NBCC,NBCC,Civil Construction,,failed
NCC,NCC,Civil Construction,,failed
PNC Infratech,PNCINFRA,Civil Construction,,failed
Power Mech Proj.,POWERMECH,Civil Construction,,failed
Rites,RITES,Civil Construction,,failed
Rail Vikas,RVNL,Civil Construction,,failed
Shrem InvIT,SHREMINVIT,Civil Construction,,failed
Sterling & Wils.,SWSOLAR,Civil Construction,,failed
Techno Elec.Engg,TECHNOE,Civil Construction,,failed
Welspun Enterp,WELENT,Civil Construction,,failed
Coal India,COALINDIA,Coal,,failed
Sandur Manganese,SANDUMA,Coal,,failed
Ashok Leyland,ASHOKLEY,Commercial Vehicles,,failed
Atul Auto,ATULAUTO,Commercial Vehicles,,failed
SML ISUZU,SMLISUZU,Commercial Vehicles,,failed
Transpek Inds.,TRANSPEK,Commodity Chemicals,,failed
Tanfac Inds.,TANFACIND,Commodity Chemicals,,failed
TGV Sraac,TGVSL,Commodity Chemicals,,failed
Blue Pearl Agri,BLUECLOUDS,Commodity Chemicals,,failed
Vikram Thermo,VIKRAMTH,Commodity Chemicals,,failed
Amines & Plast.,AMNPLST,Commodity Chemicals,,failed
Andhra Sugars,ANDHRSUGAR,Commodity Chemicals,,failed
Chemfab Alka.,CHEMFAB,Commodity Chemicals,,failed
Chemplast Sanmar,CHEMPLASTS,Commodity Chemicals,,failed
Deepak Fertilis.,DEEPAKFERT,Commodity Chemicals,,failed
GHCL,GHCL,Commodity Chemicals,,failed
G N F C,GNFC,Commodity Chemicals,,failed
Grauer & Weil,GRAUWEIL,Commodity Chemicals,,failed
Gujarat Alkalies,GUJALKALI,Commodity Chemicals,,failed
I G Petrochems,IGPL,Commodity Chemicals,,failed
Indo Borax & Ch.,INDOBORAX,Commodity Chemicals,,failed
J.G.Chemicals,JGCHEM,Commodity Chemicals,,failed
OCCL,OCCLLTD,Commodity Chemicals,,failed
Primo Chemicals,PRIMO,Commodity Chemicals,,failed
SRF,SRF,Commodity Chemicals,,failed
Sr.Rayala.Hypo,SRHHYPOLTD,Commodity Chemicals,,failed
Tata Chemicals,TATACHEM,Commodity Chemicals,,failed
Thirumalai Chem.,TIRUMALCHM,Commodity Chemicals,,failed
Cummins India,CUMMINSIND,Compressors,,failed
Elgi Equipments,ELGIEQUIP,Compressors,,failed
Greaves Cotton,GREAVESCOT,Compressors,,failed
Ingersoll-Rand,INGERRAND,Compressors,,failed
Kirl. Brothers,KIRLOSBROS,Compressors,,failed
Kirloskar Oil,KIRLOSENG,Compressors,,failed
Kirl.Pneumatic,KIRLPNU,Compressors,,failed
KSB,KSB,Compressors,,failed
Latteys Industri,LATTEYS,Compressors,,failed
Maks Energy,MAKS,Compressors,,failed
Oswal Pumps,OSWALPUMPS,Compressors,,failed
Megri Soft,ACESOFT,Data Processing Services,,failed
Tracxn Technolo.,TRACXN,Data Processing Services,,failed
N S D L,NSDL,Depositories,,failed
Beacon Trust.,BEACON,Depositories,,failed
Cams Services,CAMS,Depositories,,failed
C D S L,CDSL,Depositories,,failed
KFin Technolog.,KFINTECH,Depositories,,failed
7Seas Enter.,7SEASL,Digital Entertainment,,failed
Bodhi Tree,BTML,Digital Entertainment,,failed
Nazara Technolo.,NAZARA,Digital Entertainment,,failed
M K Exim India,MKEXIM,Distributors,,failed
Alstone Textiles,ALSTONE,Distributors,,failed
Sattva Sukun,SATTVASUKU,Distributors,,failed
Ace Men,ACEMEN,Distributors,,failed
Radhagobind Comm,PUNJCOMMU,Distributors,,failed
MRP Agro,CIANAGRO,Distributors,,failed
3M India,3MINDIA,Diversified,,failed
Swasti Vin. Art,ARTSON,Diversified,,failed
Krypton Industri,KRYPTONQ,Diversified,,failed
Panth Infinity,PANTH,Diversified,,failed
HCKK Ventures,MKVENTURES,Diversified,,failed
Galactico Corpo.,GALACTICO,Diversified,,failed
Balmer Lawrie,BALMLAWRIE,Diversified,,failed
DCM Shriram,DCMSHRIRAM,Diversified,,failed
Dhunseri Vent.,DVL,Diversified,,failed
Godrej Industrie,GODREJIND,Diversified,,failed
Maheshwari Logi.,MAHESHWARI,Diversified,,failed
TTK Healthcare,TTKHLTCARE,Diversified,,failed
Nirlon,NIRLON,Diversified Commercial Services,,failed
Sobhagya Mercant,MERCANTILE,Diversified Commercial Services,,failed
Banganga Paper,BANGANGA,Diversified Commercial Services,,failed
Mizzen Ventures,MKVENTURES,Diversified Commercial Services,,failed
AWFIS Space,AWFIS,Diversified Commercial Services,,failed
Bluspring Enter.,BLUSPRING,Diversified Commercial Services,,failed
CMS Info Systems,CMSINFO,Diversified Commercial Services,,failed
EFC (I),EFCIL,Diversified Commercial Services,,failed
Hemisphere Prop,HEMIPROP,Diversified Commercial Services,,failed
International Ge,IGIL,Diversified Commercial Services,,failed
Indiqube Spaces,INDIQUBE,Diversified Commercial Services,,failed
Kapston Services,KAPSTON,Diversified Commercial Services,,failed
Krystal Integrat,KRYSTAL,Diversified Commercial Services,,failed
NDR INVIT Trust,NDRINVIT,Diversified Commercial Services,,failed
NESCO,NESCO,Diversified Commercial Services,,failed
PTL Enterprises,PTL,Diversified Commercial Services,,failed
Quess Corp,QUESS,Diversified Commercial Services,,failed
Radiant Cash,RADIANTCMS,Diversified Commercial Services,,failed
Sanghvi Movers,SANGHVIMOV,Diversified Commercial Services,,failed
Smartworks Cowor,SMARTWORKS,Diversified Commercial Services,,failed
Tara Chand Infra,TARACHAND,Diversified Commercial Services,,failed
Team Lease Serv.,TEAMLEASE,Diversified Commercial Services,,failed
