stock_name,symbol,industry,company_id,status
Kitex Garments,KITEX,Garments & Apparels,,failed
Kewal Kir.Cloth.,KKCL,Garments & Apparels,,failed
Lux Industries,LUXIND,Garments & Apparels,,failed
Monte Carlo Fas.,MONTECARLO,Garments & Apparels,,failed
Page Industries,PAGEIND,Garments & Apparels,,failed
Pearl Global Ind,PGIL,Garments & Apparels,,failed
Purple United,PURPLEUTED,Garments & Apparels,,failed
Rupa & Co,RUPA,Garments & Apparels,,failed
SBC Exports,SBC,Garments & Apparels,,failed
S P Apparels,SPAL,Garments & Apparels,,failed
Saraswati Saree,SSDL,Garments & Apparels,,failed
Thomas Scott,THOMASCOTT,Garments & Apparels,,failed
VIP Clothing,VIPCLOTHNG,Garments & Apparels,,failed
Vishal Fabrics,VISHAL,Garments & Apparels,,failed
Zodiac Cloth. Co,ZODIACLOTH,Garments & Apparels,,failed
GAIL (India),GAIL,Gas Transmission/Marketing,,failed
Guj.St.Petronet,GSPL,Gas Transmission/Marketing,,failed
Radiowalla,RADIOWALLA,Media & Entertainment,,failed
Saregama India,SAREGAMA,Media & Entertainment,,failed
Shemaroo Entert.,SHEMAROO,Media & Entertainment,,failed
Silly Monks,SILLYMONKS,Media & Entertainment,,failed
Studio LSD,STUDIOLSD,Media & Entertainment,,failed
Tips Music,TIPSMUSIC,Media & Entertainment,,failed
Shree Pacetronix,SHREEREF,Medical Equipment & Supplies,,failed
Choksi Asia,CHOKSILA,Medical Equipment & Supplies,,failed
Prevest Denpro,PREVEST,Medical Equipment & Supplies,,failed
Royal Sense,ROYAL,Medical Equipment & Supplies,,failed
Amkay Products,AMKAY,Medical Equipment & Supplies,,failed
Aprameya Enginee,APRAMEYA,Medical Equipment & Supplies,,failed
Vasa Denticity,DENTALKART,Medical Equipment & Supplies,,failed
Fischer Medical,FISCHER,Medical Equipment & Supplies,,failed
Galaxy Medicare,GML,Medical Equipment & Supplies,,failed
Laxmi Dental,LAXMIDENTL,Medical Equipment & Supplies,,failed
Vaidya Sane,MADHAVBAUG,Medical Equipment & Supplies,,failed
Mohini Health,MHHL,Medical Equipment & Supplies,,failed
Nureca,NURECA,Medical Equipment & Supplies,,failed
OSEL Devices,OSELDEVICE,Medical Equipment & Supplies,,failed
Poly Medicure,POLYMED,Medical Equipment & Supplies,,failed
QMS Medical,QMSMEDI,Medical Equipment & Supplies,,failed
Tarsons Products,TARSONS,Medical Equipment & Supplies,,failed
CreditAcc. Gram.,CREDITACC,Microfinance Institutions,,failed
