stock_name,symbol,industry,url
Assoc.Alcohols,ASALCBR,Breweries & Distilleries,https://www.screener.in/company/ASALCBR/
G M Breweries,GMBREW,Breweries & Distilleries,https://www.screener.in/company/GMBREW/
BCL Industries,BCLIND,Breweries & Distilleries,https://www.screener.in/company/BCLIND/consolidated/
Jagatjit Inds.,507155,Breweries & Distilleries,https://www.screener.in/company/507155/consolidated/
IFB Agro Inds.,IFBAGRO,Breweries & Distilleries,https://www.screener.in/company/IFBAGRO/
Monika Alcobev,544451,Breweries & Distilleries,https://www.screener.in/company/544451/
FratelliVineyard,541741,Breweries & Distilleries,https://www.screener.in/company/541741/consolidated/
Cupid Breweries,512361,Breweries & Distilleries,https://www.screener.in/company/512361/
Comfort Intech,531216,Breweries & Distilleries,https://www.screener.in/company/531216/consolidated/
Agribio Spirits,539546,Breweries & Distilleries,https://www.screener.in/company/539546/consolidated/
Tahmar Enterp.,516032,Breweries & Distilleries,https://www.screener.in/company/516032/
Shri Gang Indus,523309,Breweries & Distilleries,https://www.screener.in/company/523309/
Suraj Industries,526211,Breweries & Distilleries,https://www.screener.in/company/526211/consolidated/
Aurangabad Dist.,AURDIS,Breweries & Distilleries,https://www.screener.in/company/AURDIS/
Winsome Brew.,526471,Breweries & Distilleries,https://www.screener.in/company/526471/
Firstsour.Solu.,FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/FSL/consolidated/
eClerx Services,ECLERX,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/ECLERX/consolidated/
RPSG Ventures,RPSGVENT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/RPSGVENT/consolidated/
Hinduja Global,HGS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/HGS/consolidated/
Alldigi Tech,ALLDIGI,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/ALLDIGI/consolidated/
One Point One,ONEPOINT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/ONEPOINT/consolidated/
Kandarp Digi,KANDARP,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/KANDARP/
Cadsys (India),CADSYS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/CADSYS/consolidated/
We Win Ltd,WEWIN,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/WEWIN/
HRH Next,HRHNEXT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/HRHNEXT/
Informed Techn.,504810,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/504810/consolidated/
Platinumone Bus.,543352,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/543352/
Plada Infotech S,PLADAINFO,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/PLADAINFO/consolidated/
BNR Udyog,530809,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/530809/
G-Tech Info.,532139,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/company/532139/
Polycab India,POLYCAB,Cables - Electricals,https://www.screener.in/company/POLYCAB/consolidated/
KEI Industries,KEI,Cables - Electricals,https://www.screener.in/company/KEI/consolidated/
R R Kabel,RRKABEL,Cables - Electricals,https://www.screener.in/company/RRKABEL/consolidated/
Finolex Cables,FINCABLES,Cables - Electricals,https://www.screener.in/company/FINCABLES/
Universal Cables,UNIVCABLES,Cables - Electricals,https://www.screener.in/company/UNIVCABLES/consolidated/
Advait Energy,543230,Cables - Electricals,https://www.screener.in/company/543230/consolidated/
Dynamic Cables,DYCL,Cables - Electricals,https://www.screener.in/company/DYCL/
Quadrant Future,QUADFUTURE,Cables - Electricals,https://www.screener.in/company/QUADFUTURE/
Paramount Comm.,PARACABLES,Cables - Electricals,https://www.screener.in/company/PARACABLES/consolidated/
V-Marc India,VMARCIND,Cables - Electricals,https://www.screener.in/company/VMARCIND/
Divine Power,DPEL,Cables - Electricals,https://www.screener.in/company/DPEL/
Systematic Inds.,544541,Cables - Electricals,https://www.screener.in/company/544541/
JD Cables,544524,Cables - Electricals,https://www.screener.in/company/544524/
Plaza Wires,PLAZACABLE,Cables - Electricals,https://www.screener.in/company/PLAZACABLE/
Cords Cable,CORDSCABLE,Cables - Electricals,https://www.screener.in/company/CORDSCABLE/
Bhadora Indust.,BHADORA,Cables - Electricals,https://www.screener.in/company/BHADORA/
Prime Cable Ind.,PRIMECAB,Cables - Electricals,https://www.screener.in/company/PRIMECAB/
DCG Cables,DCG,Cables - Electricals,https://www.screener.in/company/DCG/
Ultracab India,538706,Cables - Electricals,https://www.screener.in/company/538706/
Marco Cables,MARCO,Cables - Electricals,https://www.screener.in/company/MARCO/
