stock_name,symbol,industry,company_id,screener_url,status
Bright Outdoor,BRIGHT,Advertising & Media Agencies,1274380,https://www.screener.in/company/BRIGHT/consolidated/,success
Cyber Media Res.,CMRSL,Advertising & Media Agencies,1275310,https://www.screener.in/company/CMRSL/consolidated/,success
Crayons Advertis,CRAYONS,Advertising & Media Agencies,1284366,https://www.screener.in/company/CRAYONS/consolidated/,success
Cash UR Drive,CUDML,Advertising & Media Agencies,1285573,https://www.screener.in/company/CUDML/consolidated/,success
Digicontent,DGCONTENT,Advertising & Media Agencies,1274671,https://www.screener.in/company/DGCONTENT/consolidated/,success
Graphisads,GRAPHISAD,Advertising & Media Agencies,1284575,https://www.screener.in/company/GRAPHISAD/consolidated/,success
Pramara Promotio,PRAMARA,Advertising & Media Agencies,1284475,https://www.screener.in/company/PRAMARA/consolidated/,success
R K Swamy,RKSWAMY,Advertising & Media Agencies,1284701,https://www.screener.in/company/RKSWAMY/consolidated/,success
Signpost India,SIGNPOST,Advertising & Media Agencies,1284684,https://www.screener.in/company/SIGNPOST/consolidated/,success
Veritaas Adver.,VERITAAS,Advertising & Media Agencies,1284781,https://www.screener.in/company/VERITAAS/consolidated/,success
Vertoz,VERTOZ,Advertising & Media Agencies,1274201,https://www.screener.in/company/VERTOZ/consolidated/,success
Winpro Industrie,WINPRO,Advertising & Media Agencies,1543,https://www.screener.in/company/WINPRO/consolidated/,success
Apollo Micro Sys,APOLLO,Aerospace & Defense,1274254,https://www.screener.in/company/APOLLO/consolidated/,success
Astra Microwave,ASTRAMICRO,Aerospace & Defense,308,https://www.screener.in/company/ASTRAMICRO/consolidated/,success
Avantel,AVANTEL,Aerospace & Defense,340,https://www.screener.in/company/AVANTEL/consolidated/,success
AXISCADES Tech.,AXISCADES,Aerospace & Defense,350,https://www.screener.in/company/AXISCADES/consolidated/,success
Bharat Dynamics,BDL,Aerospace & Defense,1274300,https://www.screener.in/company/BDL/consolidated/,success
Bharat Electron,BEL,Aerospace & Defense,456,https://www.screener.in/company/BEL/consolidated/,success
C2C Advanced,C2C,Aerospace & Defense,1285168,https://www.screener.in/company/C2C/consolidated/,success
Data Pattern,DATAPATTNS,Aerospace & Defense,1275127,https://www.screener.in/company/DATAPATTNS/consolidated/,success
Eraaya Lifespace,EBIX,2/3 Wheelers,,https://www.screener.in/company/EBIX/consolidated/,failed
Wardwizard Inno.,WARDINMOBI,2/3 Wheelers,,https://www.screener.in/company/WARDINMOBI/consolidated/,failed
Supertech EV,SEVL,2/3 Wheelers,,https://www.screener.in/company/SEVL/consolidated/,failed
Ather Energy,ATHERENERG,2/3 Wheelers,,https://www.screener.in/company/ATHERENERG/consolidated/,failed
Bajaj Auto,BAJAJ-AUTO,2/3 Wheelers,,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,failed
Delta Auto.,DELTIC,2/3 Wheelers,,https://www.screener.in/company/DELTIC/consolidated/,failed
Eicher Motors,EICHERMOT,2/3 Wheelers,,https://www.screener.in/company/EICHERMOT/consolidated/,failed
Hero Motocorp,HEROMOTOCO,2/3 Wheelers,,https://www.screener.in/company/HEROMOTOCO/consolidated/,failed
Ola Electric,OLAELEC,2/3 Wheelers,,https://www.screener.in/company/OLAELEC/consolidated/,failed
Tunwal E-Motors,TUNWAL,2/3 Wheelers,,https://www.screener.in/company/TUNWAL/consolidated/,failed
TVS Motor Co.,TVSMOTOR,2/3 Wheelers,,https://www.screener.in/company/TVSMOTOR/consolidated/,failed
Carborundum Uni.,CARBORUNIV,Abrasives & Bearings,,https://www.screener.in/company/CARBORUNIV/consolidated/,failed
Grindwell Norton,GRINDWELL,Abrasives & Bearings,,https://www.screener.in/company/GRINDWELL/consolidated/,failed
NRB Indl Bearing,NIBL,Abrasives & Bearings,,https://www.screener.in/company/NIBL/consolidated/,failed
SKF India,SKFINDIA,Abrasives & Bearings,,https://www.screener.in/company/SKFINDIA/consolidated/,failed
SKP Bearing,SKP,Abrasives & Bearings,,https://www.screener.in/company/SKP/consolidated/,failed
Timken India,TIMKEN,Abrasives & Bearings,,https://www.screener.in/company/TIMKEN/consolidated/,failed
Wendt India,WENDT,Abrasives & Bearings,,https://www.screener.in/company/WENDT/consolidated/,failed
Vision Cinemas,RAMAVISION,Advertising & Media Agencies,,https://www.screener.in/company/RAMAVISION/consolidated/,failed
Esha Media,ESHAMEDIA,Advertising & Media Agencies,,https://www.screener.in/company/ESHAMEDIA/consolidated/,failed
Thinkink Picture,PICTUREHS,Advertising & Media Agencies,,https://www.screener.in/company/PICTUREHS/consolidated/,failed
Sungold Media,ESHAMEDIA,Advertising & Media Agencies,,https://www.screener.in/company/ESHAMEDIA/consolidated/,failed
Sharpline Broadc,SHARP,Advertising & Media Agencies,,https://www.screener.in/company/SHARP/consolidated/,failed
DAPS Advertising,DAPS,Advertising & Media Agencies,,https://www.screener.in/company/DAPS/consolidated/,failed
Innokaiz India,ADCINDIA,Advertising & Media Agencies,,https://www.screener.in/company/ADCINDIA/consolidated/,failed
Toss The Coin,ATHENAGLO,Advertising & Media Agencies,,https://www.screener.in/company/ATHENAGLO/consolidated/,failed
Jaykay Enter.,JAYKAY,Aerospace & Defense,,https://www.screener.in/company/JAYKAY/consolidated/,failed
Taneja Aerospace,PACE,Aerospace & Defense,,https://www.screener.in/company/PACE/consolidated/,failed
Sika Interplant,SIKA,Aerospace & Defense,,https://www.screener.in/company/SIKA/consolidated/,failed
CFF Fluid,FLUIDOM,Aerospace & Defense,,https://www.screener.in/company/FLUIDOM/consolidated/,failed
