symbol,exchange,name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,free_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector_tr,market,sector,AnalystRating,AnalystRating_tr,exchange_field,full_symbol
NUTECGLOB,BSE,NUTECGLOB,Nutech Global Limited,nutech-global-ltd,delayed_streaming_900,stock,['common'],25.99,100,1,false,0,INR,0,4,0.026041666666666668,,INR,,,,,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:NUTECGLOB
SHREMETAL,BSE,SHREMETAL,Shree Metalloys Limited,shree-metalloys-ltd,delayed_streaming_900,stock,['common'],33,100,1,false,0,INR,-5.498281786941585,7032,6.446644664466447,,INR,,,,,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:SHREMETAL
JAGSONFI,BSE,JAGSONFI,Jagsonpal Finance & Leasing Ltd.,jagsonpal-finance-and-leasing-lt,delayed_streaming_900,stock,['common'],60.66,100,1,false,0,INR,-4.996084573218488,1599,0.356760374832664,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:JAGSONFI
NIF100BEES,BSE,NIF100BEES,Nippon India ETF Nifty100,nippon-life-india-asset,delayed_streaming_900,fund,['etf'],269.69,100,1,false,0,INR,0.007416471984270334,3351,0.561043396731851,,INR,,,,,Miscellaneous,india,Miscellaneous,Neutral,Neutral,BSE,BSE:NIF100BEES
INRADIA,BSE,INRADIA,India Radiators Ltd,india-radiators-ltd,delayed_streaming_900,stock,['common'],11.86,100,1,false,0,INR,4.955752212389369,70,0.2936241610738255,,INR,,,,,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:INRADIA
SONALAD,BSE,SONALAD,Sonal Adhesives Limited,sonal-adhesives-ltd,delayed_streaming_900,stock,['common'],49.3,100,1,false,0,INR,0.6122448979591778,1035,1.280148423005566,,INR,,,,,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:SONALAD
DAULAT,BSE,DAULAT,Daulat Securities Ltd.,daulat-securities-ltd,delayed_streaming_900,stock,['common'],39.5,100,1,false,0,INR,-1.0025062656641568,1344,0.269441270223131,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:DAULAT
TATIAGLOB,BSE,TATIAGLOB,Tatia Global Vennture Ltd.,tatia-global-vennture-ltd,delayed_streaming_900,stock,['common'],2.89,100,1,false,0,INR,0.6968641114982584,106477,1.3356221517820297,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:TATIAGLOB
SOMAPPR,BSE,SOMAPPR,Soma Papers & Industries Ltd,soma-papers-and-industries-ltd,delayed_streaming_900,stock,['common'],71.94,100,1,false,0,INR,0,96,0.01976854330546518,,INR,,,,,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:SOMAPPR
SANTETX,BSE,SANTETX,Sanrhea Technical Textiles Ltd.,sanrhea-technical-textiles-ltd,delayed_streaming_900,stock,['common'],145,100,5,false,0,INR,0.034494653328741895,301,0.17388792605430387,,INR,,,,,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:SANTETX
NARMP,BSE,NARMP,Narmada Macplast Drip Irrigation Systems Ltd,narmada-macplast-drip-irrigati,delayed_streaming_900,stock,['common'],202,100,5,false,0,INR,-0.36991368680641185,26011,1.4992881393056618,,INR,,,,,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:NARMP
CAPRICORN,BSE,CAPRICORN,Capricorn Systems Global Solutions Limited,capricorn-systems-global-solut,delayed_streaming_900,stock,['common'],19.71,100,1,false,0,INR,0,2329,8.91995404059747,,INR,,,,,Technology services,india,Technology Services,Neutral,Neutral,BSE,BSE:CAPRICORN
