Stock Name,Basic Industry,Index,Sector
BGRENERGY,Civil Construction,NA,Construction
BAFNAPH,Pharmaceuticals,NA,Healthcare
APOLLO,Aerospace & Defense,NA,Capital Goods
GABRIEL,Auto Ancilaries,NIFTY MICROCAP 250,Auto
INDOTHAI,Investment Banking & Broking,NA,Financial Services
NACLIND,Agro chemicals,NA,Chemicals
CUPID,Personal Care,NA,FMCG
IZMO,Software Services,NA,Information Technology
PANACHE,Computer Hardware,NA,Information Technology
INDLMETER,Electrical - Power Equipment,NA,Capital Goods
NETWEB,Software Services,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Information Technology
TERASOFT,Software Services,NA,Information Technology
UNITEDPOLY,Textiles,NA,Textiles
BLUECOAST,Hotels,NA,Consumer Services
GAYAHWS,Civil Construction,NA,Construction
SWANDEF,Ship building & Allied services,NA,Capital Goods
STALLION,Chemicals Specialty,NA,Chemicals
QPOWER,Electrical - Power Equipment,NA,Capital Goods
CURAA,Software Services,NA,Information Technology
BHARATSE,Auto Ancilaries,NA,Auto
WAAREEINDO,Electrical - Power Equipment,NA,Capital Goods
EASTSILK,Textiles,NA,Textiles
GMDCLTD,Mining/Minerals,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Metals & Mining
ARSSINFRA,Civil Construction,NA,Construction
AXISCADES,Aerospace & Defense,NA,Capital Goods
BANCOINDIA,Auto Ancilaries,NIFTY MICROCAP 250,Auto
KRISHANA,Chemicals Specialty,NA,Chemicals
JAYNECOIND,Iron & Steel,NA,Metals & Mining
MAHASTEEL,Iron & Steel,NA,Metals & Mining
PROZONER,Real Estate,NA,Realty
LUMAXIND,Tyres & Rubber Products,NA,Auto
SUNDARMHLD,NBFC,NA,Financial Services
TFCILTD,Financial Services-Specialty,NA,Financial Services
KAVDEFENCE,Telecom - Equipment & Accessories,NA,Telecommunication
MEGASOFT,Other Telecom Services,NA,Telecommunication
SUMEETINDS,Textiles,NA,Textiles
VIMTALABS,Healthcare Research Analytics & Technology,NA,Healthcare
EXCEL,Software Services,NA,Information Technology
LGHL,Jewellery,NA,Consumer Durables
IXIGO,Tour & Travel services,NIFTY MICROCAP 250,Consumer Services
COMSYN,Packaging,NA,Capital Goods
ABINFRA,Civil Construction,NA,Construction
ATHERENERG,Auto Manufacturers,NA,Auto
JSLL,Pharmaceuticals,NA,Healthcare
ASHAPURMIN,Mining/Minerals,NA,Metals & Mining
GVT&D,Electrical - Power Equipment,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY ENERGY",Capital Goods
CARTRADE,E- Commerce,NIFTY MICROCAP 250,Consumer Services
FORCEMOT,Auto Manufacturers,NIFTY MICROCAP 250,Auto
KHAICHEM,Agro chemicals,NA,Chemicals
MANGCHEFER,Fertilizers,NA,Chemicals
KIOCL,Iron & Steel,NA,Metals & Mining
IFBAGRO,Breweries & Distilleries,NA,FMCG
SHAILY,Chemicals-Plastics,NA,Chemicals
SEJALLTD,Glass,NA,Capital Goods
LUMAXTECH,Auto Ancilaries,NA,Auto
LOTUSEYE,Hospitals,NA,Healthcare
TVSELECT,Computer Hardware,NA,Information Technology
ZOTA,Medical-Diversified,NA,Healthcare
SVLL,Logistics,NA,Services
SHREERAMA,Packaging,NA,Capital Goods
YATRA,Tour & Travel services,NA,Consumer Services
BLACKBUCK,Logistics,NA,Services
ROSSTECH,Aerospace & Defense,NA,Capital Goods
ATLASCYCLE,Household Appliances,NA,Consumer Durables
MOSCHIP,EMS,NA,Capital Goods
RMDRIP,Chemicals-Plastics,NA,Chemicals
AVALON,EMS,NIFTY MICROCAP 250,Capital Goods
GALLANTT,Iron & Steel,NA,Metals & Mining
ATALREAL,Construction Residential & Commercial,NA,Realty
BALAJITELE,Media & Entertainment,NA,Media Entertainment & Publication
MBAPL,Agro chemicals,NA,Chemicals
PARADEEP,Agro chemicals,NIFTY MICROCAP 250,Chemicals
IMFA,Iron & Steel,NIFTY MICROCAP 250,Metals & Mining
POCL,Mining/Minerals,NA,Metals & Mining
SYRMA,EMS,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
NORBTEAEXP,Tea & Coffee,NA,FMCG
INOXGREEN,Energy-Alternative,NIFTY MICROCAP 250,Power
SOMATEX,Textiles,NA,Textiles
SMLISUZU,Auto Manufacturers,NA,Auto
ATLANTAA,Civil Construction,NA,Construction
SRM,Civil Construction,NA,Construction
AGIIL,Civil Construction,NA,Construction
AIIL,NBFC,NA,Financial Services
RELIABLE,Software Services,NA,Information Technology
GARUDA,Civil Construction,NA,Construction
JUBLCPL,Agro Products,NA,FMCG
KRISHIVAL,Food Products,NA,FMCG
MWL,Iron & Steel,NA,Metals & Mining
ANANDRATHI,Finance & Investment,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
HIRECT,Electrical Miscallaneous,NA,Capital Goods
HBLENGINE,Electrical - Power Equipment,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
AARVEEDEN,Textiles,NA,Textiles
FORTIS,Hospitals,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY MIDSMALL HEALTHCARE",Healthcare
GODFRYPHLP,Tobacco,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",FMCG
RISHABH,Electrical - Power Equipment,NA,Capital Goods
KANPRPLA,Packaging,NA,Capital Goods
NILASPACES,Construction Residential & Commercial,NA,Realty
PANSARI,Real Estate,NA,Realty
INDNIPPON,Auto Ancilaries,NA,Auto
SHREEPUSHK,Chemicals Specialty,NA,Chemicals
NARMADA,Agro Products,NA,FMCG
MCLEODRUSS,Tea & Coffee,NA,FMCG
SILGO,Jewellery,NA,Consumer Durables
SUBROS,Auto Ancilaries,NIFTY MICROCAP 250,Auto
YATHARTH,Hospitals,NIFTY MICROCAP 250,Healthcare
FEDFINA,NBFC,NA,Financial Services
LTF,Finance & Investment,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Financial Services
DENTA,Water Supply & Management,NA,Utilities
ISHANCH,Chemicals Specialty,NA,Chemicals
BELRISE,Auto Ancilaries,NA,Auto
BCG,Advertising,NA,Media Entertainment & Publication
E2E,Software Services,NA,Information Technology
GRMOVER,Food Products,NA,FMCG
MAHSCOOTER,Auto Ancilaries,NA,Auto
MUTHOOTFIN,NBFC,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY FINANCIAL SERVICES",Financial Services
RAMAPHO,Agro chemicals,NA,Chemicals
NRAIL,Paper & Paper Products,NA,Forest Materials
RAMCOSYS,Software Products,NA,Information Technology
SANGHVIMOV,Industrial Products & Manufacturing,NIFTY MICROCAP 250,Capital Goods
MANAKCOAT,Metal Fabrication,NA,Metals & Mining
RBLBANK,Private Banks,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY PRIVATE BANK",Financial Services
PAYTM,Financial Services-Specialty,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Financial Services
MIRCELECTR,Household Appliances,NA,Consumer Durables
KAMATHOTEL,Hotels,NA,Consumer Services
TATAINVEST,Finance & Investment,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Financial Services
TDPOWERSYS,Electrical - Power Equipment,NIFTY MICROCAP 250,Capital Goods
JINDALPHOT,Finance & Investment,NA,Financial Services
VISASTEEL,Iron & Steel,NA,Metals & Mining
SIRCA,Paints,NA,Consumer Durables
TI,Breweries & Distilleries,NIFTY MICROCAP 250,FMCG
ABDL,Breweries & Distilleries,NA,FMCG
TEAMGTY,NBFC,NA,Financial Services
CHOICEIN,Investment Banking & Broking,NIFTY MICROCAP 250,Financial Services
DECCANCE,Cement,NA,Construction
DATAMATICS,Software Services,NIFTY MICROCAP 250,Information Technology
AAREYDRUGS,Medical-Diversified,NA,Healthcare
HLEGLAS,Industrial Products & Manufacturing,NA,Capital Goods
CENTEXT,Metal Fabrication,NA,Metals & Mining
GRSE,Ship building & Allied services,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
GINNIFILA,Textiles,NA,Textiles
INFOBEAN,Software Products,NA,Information Technology
LAURUSLABS,Medical-Diversified,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY PHARMA,NIFTY MIDSMALL HEALTHCARE",Healthcare
INDORAMA,Textiles,NA,Textiles
SBC,Textiles,NA,Textiles
KHAITANLTD,Food Products,NA,FMCG
ROHLTD,Hotels,NA,Consumer Services
VASCONEQ,Civil Construction,NA,Construction
PARAGMILK,Dairy Products,NA,FMCG
SJS,Auto Ancilaries,NA,Auto
THYROCARE,Medical Diagnostics,NA,Healthcare
VIJIFIN,Financial Services-Specialty,NA,Financial Services
ORIENTTECH,Software Services,NA,Information Technology
RACLGEAR,Auto Ancilaries,NA,Auto
GUJTHEM,Pharmaceuticals,NA,Healthcare
STLNETWORK,Telecom - Cellular & Fixed line services,NA,Telecommunication
ARIHANTCAP,Investment Banking & Broking,NA,Financial Services
HYBRIDFIN,Finance & Investment,NA,Financial Services
CHEMCON,Chemicals Specialty,NA,Chemicals
ABCAPITAL,Finance & Investment,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Financial Services
HINDCOPPER,Mining/Minerals,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY METAL",Metals & Mining
ASTERDM,Hospitals,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY MIDSMALL HEALTHCARE",Healthcare
JMFINANCIL,Finance & Investment,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
SALSTEEL,Iron & Steel,NA,Metals & Mining
POONAWALLA,NBFC,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Financial Services
ORICONENT,Packaging,NA,Capital Goods
INDIANB,PSU Banks,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY PSU BANK",Financial Services
NESCO,Real Estate,NIFTY MICROCAP 250,Realty
NYKAA,E- Commerce,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Consumer Services
PFOCUS,Media & Entertainment,NA,Media Entertainment & Publication
V2RETAIL,Apparels,NA,Textiles
ETERNAL,E- Commerce,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Consumer Services
SKMEGGPROD,Food Products,NA,FMCG
AVANTEL,Aerospace & Defense,NA,Capital Goods
CCCL,Civil Construction,NA,Construction
HYUNDAI,Auto Manufacturers,NA,Auto
AVL,Speciality Retail,NA,Consumer Services
AHCL,Pharmaceuticals,NA,Healthcare
ANURAS,Chemicals Specialty,NIFTY MICROCAP 250,Chemicals
GAYAPROJ,Civil Construction,NA,Construction
ACUTAAS,Chemicals Specialty,NIFTY MICROCAP 250,Chemicals
ASTRAMICRO,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
DELHIVERY,Logistics,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Services
ADANIPOWER,Power Generation & Distribution,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY ENERGY",Power
HINDWAREAP,Household Appliances,NIFTY MICROCAP 250,Consumer Durables
GENCON,Civil Construction,NA,Construction
BHARATGEAR,Auto Ancilaries,NA,Auto
EICHERMOT,Auto Manufacturers,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
MANAPPURAM,NBFC,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
PREMEXPLN,Chemicals Specialty,NA,Chemicals
GOKULAGRO,Edible Oils & Solvent Extraction,NA,FMCG
RAMCOIND,Construction Products Miscallaneous,NA,Construction
MARUTI,Auto Manufacturers,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
ZUARI,Agro chemicals,NA,Chemicals
VSTTILLERS,Industrial Products & Manufacturing,NA,Capital Goods
TVSMOTOR,Auto Manufacturers,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
DIFFNKG,Industrial Products & Manufacturing,NA,Capital Goods
KMEW,Ship building & Allied services,NA,Capital Goods
PROSTARM,Electrical - Power Equipment,NA,Capital Goods
SMARTWORKS,Diversified Commercial Services,NA,Services
FOSECOIND,Chemicals Specialty,NA,Chemicals
CENTUM,EMS,NA,Capital Goods
GUJAPOLLO,Industrial Products & Manufacturing,NA,Capital Goods
GOODLUCK,Iron & Steel,NA,Metals & Mining
HCG,Hospitals,NIFTY MICROCAP 250,Healthcare
ECLERX,Credit Rating Agencies,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
BIL,Leisure Products,NA,Consumer Durables
ENDURANCE,Auto Ancilaries,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
HEROMOTOCO,Auto Manufacturers,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
HTMEDIA,Print Media,NA,Media Entertainment & Publication
PRIVISCL,Chemicals Specialty,NA,Chemicals
KINGFA,Chemicals Specialty,NA,Chemicals
JAYBARMARU,Auto Ancilaries,NA,Auto
TNPETRO,Chemicals-Plastics,NA,Chemicals
MANORAMA,Food Products,NA,FMCG
VENUSREM,Medical-Diversified,NA,Healthcare
SHRIPISTON,Auto Ancilaries,NIFTY MICROCAP 250,Auto
UNOMINDA,Auto Ancilaries,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
VMM,Diversified Retail,NA,Consumer Services
ARFIN,Metal Fabrication,NA,Metals & Mining
CPPLUS,Industrial Products & Manufacturing,NA,Capital Goods
BLUESTONE,Jewellery,NA,Consumer Durables
CAMLINFINE,Chemicals Specialty,NA,Chemicals
ARIES,Fertilizers,NA,Chemicals
DCAL,Medical-Diversified,NIFTY MICROCAP 250,Healthcare
GANDHITUBE,Metal Fabrication,NA,Metals & Mining
GPIL,Iron & Steel,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Metals & Mining
BANARBEADS,Jewellery,NA,Consumer Durables
COFFEEDAY,Restaurants,NA,Consumer Services
NAM-INDIA,Asset Management,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Financial Services
RATEGAIN,Tour & Travel services,NIFTY MICROCAP 250,Consumer Services
INTENTECH,Software Products,NA,Information Technology
NEULANDLAB,Medical-Diversified,NIFTY MICROCAP 250,Healthcare
KALYANIFRG,Iron & Steel,NA,Metals & Mining
SANDUMA,Mining/Minerals,NIFTY MICROCAP 250,Metals & Mining
UMIYA-MRO,Computer-Networking,NA,Information Technology
OMAXAUTO,Auto Ancilaries,NA,Auto
SWELECTES,Electrical - Power Equipment,NA,Capital Goods
USHAMART,Iron & Steel,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Metals & Mining
TVSHLTD,Auto Ancilaries,NA,Auto
WHEELS,Tyres & Rubber Products,NA,Auto
WAAREEENER,Electrical - Power Equipment,NA,Capital Goods
SENORES,Pharmaceuticals,NA,Healthcare
TRAVELFOOD,Restaurants,NA,Consumer Services
HDFCAMC,Asset Management,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY FINANCIAL SERVICES",Financial Services
BEL,Aerospace & Defense,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
NUVOCO,Cement,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Construction
RAMANEWS,Paper & Paper Products,NA,Forest Materials
SARDAEN,Iron & Steel,NIFTY MICROCAP 250,Metals & Mining
MCX,Financial Services-Specialty,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY FINANCIAL SERVICES",Financial Services
MINDTECK,Software Services,NA,Information Technology
CEMPRO,Civil Construction,NIFTY MICROCAP 250,Construction
IOLCP,Chemicals Specialty,NA,Chemicals
INTLCONV,Electrical - Power Equipment,NA,Capital Goods
KAYNES,EMS,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
MTARTECH,Aerospace & Defense,NIFTY MICROCAP 250,Capital Goods
KAYA,Personal Care,NA,FMCG
STARCEMENT,Cement,NIFTY MICROCAP 250,Construction
RADICO,Breweries & Distilleries,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY FMCG",FMCG
UNIVAFOODS,Hotels,NA,Consumer Services
ZUARIIND,Real Estate,NA,Realty
TAKE,Healthcare Research Analytics & Technology,NA,Healthcare
TARACHAND,Logistics,NA,Services
DDEVPLSTIK,Chemicals-Plastics,NA,Chemicals
BAJAJINDEF,Industrial Products & Manufacturing,NA,Capital Goods
FISCHER,Medical Equipment & Supplies,NA,Chemicals
EMKAY,Investment Banking & Broking,NA,Financial Services
DELPHIFX,Investment Banking & Broking,NA,Financial Services
SAMMAANCAP,Housing Finance,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
BAJFINANCE,NBFC,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY FINANCIAL SERVICES",Financial Services
63MOONS,Financial Services-Specialty,NA,Financial Services
DEEPAKFERT,Fertilizers,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Chemicals
CANBK,PSU Banks,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY BANK,NIFTY PSU BANK",Financial Services
ASHOKLEY,Auto Manufacturers,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
ATL,Ship building & Allied services,NA,Capital Goods
AMBER,EMS,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY CONSUMER DURABLES",Capital Goods
CRAFTSMAN,Industrial Products & Manufacturing,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
MFSL,Life Insurance,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Financial Services
JKCEMENT,Cement,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Construction
JAICORPLTD,Packaging,NIFTY MICROCAP 250,Capital Goods
PRECWIRE,Electrical - Power Equipment,NA,Capital Goods
MUNJALAU,Auto Ancilaries,NA,Auto
SHALBY,Hospitals,NA,Healthcare
TVSSRICHAK,Tyres & Rubber Products,NA,Auto
WCIL,Logistics,NA,Services
OCCLLTD,Chemicals Specialty,NA,Chemicals
TRANSRAILL,Civil Construction,NA,Construction
INDOFARM,Auto Manufacturers,NA,Auto
RNBDENIMS,Textiles,NA,Textiles
